Collection Month,No FICO DQ,No FICO Bal,LT 500 DQ,LT 500 Bal,501-600 DQ,501-600 Bal,601-700 DQ,601-700 Bal,701-800 DQ,701-800 Bal,801+ DQ,801+ Bal,Deal
0,09-30-2018,153494.78,3044535.9799999995,1242896.3200000003,25965820.27999999,10288239.94000001,324167221.34999925,3760843.53,185385890.62999904,3544.35,1009461.4300000004,0,13243.56,AmeriCredit Automobile Receivables Trust 2017-1
0,08-31-2018,50900.79,3126707.57,1130155.44,26825564.53000002,9604747.92,335125124.66999894,3305511.6799999992,191416046.18999934,3238.87,1057170.5599999998,0,13510.31,AmeriCredit Automobile Receivables Trust 2017-1
0,07-31-2018,37467.93,3231861.7399999998,901313.29,27782066.579999972,10029029.250000002,347707047.5699977,2989668.580000001,198955253.08999985,23122.030000000002,1102469.67,0,13766.98,AmeriCredit Automobile Receivables Trust 2017-1
0,06-30-2018,52659.28,3296359.410000002,842010.5900000001,28762481.570000026,9634238.540000005,359939813.4400017,3077733.899999999,206695355.100001,11327.3,1119880.37,0,14097.46,AmeriCredit Automobile Receivables Trust 2017-1
0,05-31-2018,53593.58,3391805.1800000016,1210732.6600000001,29769573.660000026,10711363.000000011,371583993.0400022,3564838.0500000003,214368871.79999998,11327.3,1159477.9200000004,0,14309.28,AmeriCredit Automobile Receivables Trust 2017-1
0,04-30-2018,65532.83,3494044.850000001,1214674.33,30892065.040000007,11212600.780000001,385718829.54999846,3804118.6600000025,222141669.48000085,1448.9,1194937.4700000002,0,14864.310000000001,AmeriCredit Automobile Receivables Trust 2017-1
0,03-31-2018,89063.09,3636052.840000003,1220079.44,31933629.75000002,12063791.71,398915211.4300008,3695996.460000002,230315804.49000078,1448.9,1294742.9800000002,0,15511.39,AmeriCredit Automobile Receivables Trust 2017-1
0,02-28-2018,117432.85999999997,3798642.080000003,1830944.3099999994,33384973.790000018,18174517.500000022,414747166.11000204,5111929.209999998,239344584.47000086,0,1346925.1300000004,0,16206.4,AmeriCredit Automobile Receivables Trust 2017-1
0,01-31-2018,142311.21,3955625.3900000015,2583455.9699999983,34592265.290000014,20481820.999999985,429781637.60000014,6798681.31,247182150.45000073,21461.440000000002,1399587.4300000002,0,16861.66,AmeriCredit Automobile Receivables Trust 2017-1
0,12-31-2017,68885.56,4117724.7699999996,1460416.48,35615953.85,12052869.669999996,441244258.43000317,3920080.2399999998,254449003.69000036,23255.18,1427490.2700000003,0,17493.02,AmeriCredit Automobile Receivables Trust 2017-1
0,11-30-2017,178650.62,4243523.810000001,1303938.0799999996,36696593.26999998,9626789.139999993,454414544.8100036,3162820.7099999995,262700058.69000036,23255.18,1471397.0900000005,0,18167.96,AmeriCredit Automobile Receivables Trust 2017-1
0,10-31-2017,128103.84000000001,4378321.229999998,1076452.59,37922348.98000001,8550779.089999998,468277366.2800007,2499914.4699999997,271546639.1499987,35910.0,1540659.0700000003,0,18776.85,AmeriCredit Automobile Receivables Trust 2017-1
0,09-30-2017,57024.81,4465049.36,993327.9600000001,39180361.95000007,8589847.07,483223171.6300007,2804699.0399999996,280080004.7099994,13355.84,1628141.02,0,19426.27,AmeriCredit Automobile Receivables Trust 2017-1
0,08-31-2017,63128.86000000001,4580099.9300000025,1028519.11,40364081.99000011,10212450.030000009,497108845.6100008,2795021.979999999,287865383.22000045,23558.32,1671409.47,0,20747.170000000002,AmeriCredit Automobile Receivables Trust 2017-1
0,07-31-2017,86848.87,4831741.930000002,1381162.6099999994,41747478.33999997,9352340.3,512765410.7599988,2347073.120000001,297115758.08000004,0,1768546.1400000004,0,21389.57,AmeriCredit Automobile Receivables Trust 2017-1
0,06-30-2017,80227.36,4957555.12,1032423.8699999998,42982091.50000007,9177966.890000004,527538845.9700017,2593802.0300000003,306117805.1300002,0,1841903.5600000003,0,22005.91,AmeriCredit Automobile Receivables Trust 2017-1
0,05-31-2017,106834.97,5079420.3500000015,870298.5100000001,44267862.64000014,8178277.279999997,542617390.4000019,2246613.9700000016,315816307.0500003,0,1991155.27,0,23114.329999999998,AmeriCredit Automobile Receivables Trust 2017-1
0,04-30-2017,112934.6,5287988.779999999,697469.98,45637366.13000006,7291764.999999993,558196415.0599996,2125156.58,325005031.4299999,0,2075401.8899999997,0,24466.18,AmeriCredit Automobile Receivables Trust 2017-1
0,03-31-2017,53332.229999999996,5397882.150000002,736003.1500000001,46581681.11000008,4310011.8100000005,570817003.5699995,1459340.2099999993,333041584.8200003,0,2191503.76,0,25305.120000000003,AmeriCredit Automobile Receivables Trust 2017-1
0,01-31-2017,0,5572317.149999999,31302.06,48594305.230000064,273999.95999999996,595700790.4200035,81518.48,348360480.6000007,0,2292421.6400000006,0,28615.86,AmeriCredit Automobile Receivables Trust 2017-1
0,02-28-2017,25974.66,5479573.610000001,481381.80000000005,47638926.730000034,3603567.020000002,585072178.1300038,1143713.66,341621732.22999966,0,2244839.24,0,27289.59,AmeriCredit Automobile Receivables Trust 2017-1
0,12-31-2016,0,5624226.28,122317.32999999999,49267486.12000004,670790.4400000001,604520337.330001,57447.08,354096045.3000012,0,2335342.8200000003,0,31637.839999999997,AmeriCredit Automobile Receivables Trust 2017-1
0,09-30-2018,152581.85,5005911.460000004,2088588.480000001,41577157.11000007,15788843.799999993,510286909.0,5672057.299999998,292580408.00000083,33984.41,1690881.7899999998,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,08-31-2018,206477.14,5151333.9300000025,1667034.2299999997,42931868.719999894,14303687.749999981,526573010.64999896,5362181.170000003,302682353.5300004,9318.64,1747656.1,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,07-31-2018,145766.96,5380171.000000002,1883870.0199999998,44985001.919999965,15272759.890000014,546012740.4400003,4955573.550000001,313134782.729999,24873.19,1828354.9099999995,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,06-30-2018,146647.04000000004,5527314.13,1881938.7499999998,46385169.57999988,14308837.22,565203608.2499957,5162900.189999996,324649677.01,21500.75,1876747.3099999994,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,05-31-2018,60471.56,5601991.799999996,2203382.9199999995,48193015.14,15983745.67000002,583433563.1500008,4488233.24,336210741.99999905,9619.939999999999,1935657.3899999992,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,04-30-2018,98976.71999999999,5835234.580000001,2295709.98,49912844.23999999,16675232.330000034,603717970.270004,5136589.639999998,347650546.3599988,456.98,2147347.04,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,03-31-2018,167550.57,6051465.159999996,2174580.230000001,51615448.2999999,16668853.160000004,622590005.9500054,5721260.3400000045,359519529.76999986,1476.58,2251586.2900000005,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,02-28-2018,152971.01,6263395.990000003,2868118.7000000007,53634796.29999989,22412968.259999998,644795117.0299975,8212724.649999998,372548078.2600008,19473.08,2369300.9600000004,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,01-31-2018,159009.07,6601451.979999996,3316452.0300000007,55392563.289999984,24438325.63999998,663636745.8799939,7601988.3599999985,383650431.11000043,50417.67,2493466.8699999996,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,12-31-2017,171210.96999999997,6724673.160000006,1895282.4300000002,56807403.100000024,14557795.229999995,680724406.5500038,3801791.810000001,394437849.3500003,12226.99,2665498.59,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,11-30-2017,189833.62,6915796.489999998,1878510.49,58464015.04999991,13246436.83999999,699133268.1799954,3189693.1500000013,405433704.5899999,22652.47,2746817.01,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,10-31-2017,100470.62,7198403.93,2066273.0999999992,60066864.35999998,14307558.789999994,718638561.8400041,3616662.349999999,416034536.9700022,22517.77,2824582.0500000007,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,09-30-2017,53303.85,7316462.770000005,1958221.0599999998,61817730.079999976,13727563.210000005,739822103.3200027,3814785.7300000004,428558393.449999,48404.66,2925669.39,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,08-31-2017,97803.8,7535917.950000007,2088207.0300000003,63818773.14999986,13112701.680000013,760030624.5299962,3227188.85,440883867.0599989,22315.13,2961705.91,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,07-31-2017,104158.42,7670419.750000001,1774084.87,65658673.37000016,11078127.030000005,780700267.3799897,2908061.330000001,454119651.1300001,27424.75,3133821.169999999,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,06-30-2017,37813.25,7928493.640000001,1499955.0899999994,67259139.22000012,7570894.380000001,799114751.3999962,1950276.8499999999,465585707.1799986,35589.2,3270868.0599999996,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,05-31-2017,0,8123384.710000005,716710.7199999999,68745728.95999996,4016722.8000000003,815621884.9399998,987889.0900000001,476288672.67999786,8164.45,3340600.08,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,04-30-2017,0,8242280.360000005,52265.47,70051116.63000003,232002.81,830752384.989997,28635.34,486802070.04000074,0,3414205.62,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,03-31-2017,0,8325991.010000003,182226.55000000002,71085051.70000021,761170.1700000002,842527193.2599945,107283.76,494742700.2100007,0,3464883.940000001,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,09-30-2018,130047.07999999997,5274581.939999996,1867703.7000000002,38888580.789999954,14236635.980000004,512884495.85000014,5529689.3,308028707.7100004,71323.51,2024474.4799999995,0,0,AmeriCredit Automobile Receivables Trust 2017-3
0,08-31-2018,201515.95,5480552.179999998,1760816.62,40319286.94999995,13744791.459999993,529123667.7399985,5030172.869999999,318363972.3899992,73962.12,2082166.4300000004,0,0,AmeriCredit Automobile Receivables Trust 2017-3
